0.8974	0.8286	0.9714	0.8286	0	0.6571	0.381	0.1524	0.5905	0.4952	0.4952	0.4381	0.6667	0.0571	0.9048	0.0667	0.6581	0.4444	0.8476	0	0.4476	0.7714	0.2476	0.181	0.3619	0.6857	0.5238	0.1048	0.6952	0.6286	0.0571	0.3238	0.9048	0.6571	0.181
0.1734	0.6301	0.1734	0.6301	0.2081	0.0347	0.4104	0.1098	0.3815	0.7225	0.7399	0.4393	0.6647	0.4798	0.7514	0	0	0	0.2832	0	0.0347	0.0289	0.526	0.6012	0.3468	0.8786	0.8671	0.9067	0.7861	0.9538	0.5896	0.3815	0.0983	0.4971	0.104
0.7258	0.9	0.7581	0.9	0.0161	0.9839	0.8871	0.3065	0.1774	0.9355	0.9355	0.0645	0.9286	0.7581	0.1774	0	0	0.2903	0.7714	0.4355	0.7097	0.9677	0.4677	0.6129	0.0968	0.1129	0.9839	0	0.9571	0.9516	0.9143	0.0484	0.0968	0.4839	0.4677
0.254	0.8016	0.254	0.8254	0.1056	0.4206	0.3175	0.127	0.5634	0.0873	0.1032	0.4048	0.3175	0.4921	0.9437	0.6349	0	0	0.0873	0.127	0.5915	0.4603	0.4286	0.5563	0.2063	0.373	0.6032	0.2143	0.3889	0.6032	0.7778	0.4683	0.4365	0.7302	0.2222
0.9014	0.5493	0.9261	0.5739	0.1162	0.9241	0.912	0.3627	0.7782	0.2923	0.4155	0.2711	0.8063	0.2535	0.7359	0.4155	0.2641	0.662	0.5141	0.1268	0.8521	0.8892	0.3979	0.1021	0.669	0.4789	0.2711	0.412	0.9366	0.3099	0.2148	0.6197	0.9331	0.4613	0.5246
0.9192	0.6966	0.9462	0.735	0.3889	0.9573	0.6538	0.4573	0.3932	0.7137	0.7265	0.1368	0.9701	0.0726	0.9077	0	0.2115	0.1385	0.9274	0.0256	0.7906	0.9769	0.1325	0.3761	0.3932	0.6197	0.9487	0.8718	0.9077	0.5043	0.1667	0.3248	0.9829	0.8423	0.5427
0.8267	0.7067	0.8933	0.72	0.2267	0.0667	0.1733	0.28	0.2533	0.8533	0.9333	0.3733	0.7333	0.6667	0.64	0	0	0	0.1733	0	0.08	0.08	0.3867	0.4133	0.5067	0	0.92	0.7867	0.7333	0.8	0.7733	0.5067	0.8667	0.0533	0.56
0.9856	0.6538	0.9799	0.5609	0.2276	0.0064	0.2885	0.6923	0.0321	0.9569	0.977	0.5032	0.5929	0.0449	0.7212	0	0.1351	0.796	0.9454	0.0833	0.0256	0	0.0192	0.9368	0.931	0.4551	0.9598	0.9856	0.6474	0.7532	0.75	0.9647	0.9023	0.4038	0.3814
0.5256	0.0769	0.4872	0.1026	0.3205	0.0385	0.6026	0.8205	0.4359	0.6538	0.6282	0.3333	0.7821	0.5385	0.2564	0.3523	0	0.2821	0.2564	0.1667	0.0897	0.0385	0.6154	0.9545	0.9886	0	0.4615	0.6026	0.8974	0.0897	0.6154	0.9886	0.3333	0.7564	0.3205
0.9796	0.625	0.9694	0.5909	0	0.9898	0.9388	0.9796	0	0	0	0.0227	0.9694	0.8295	0.9592	0.6364	0	0.4694	0.1591	0	0.9286	0.9694	0.3295	0.3295	0.6705	0.4432	0.125	0.75	0.9659	0.5455	0.898	0.5795	0.8295	0.8878	0.8864
0.5918	0.288	0.8165	0.3797	0	0.8703	0.8228	0.9432	0.0348	0.9659	0.9602	0.5411	0.5696	0.9034	0.9525	0.6772	0.804	0	0.9399	0.5227	0.5095	0.8006	0.1456	0.4589	0.6835	0.1677	0.9318	0.3449	0.5032	0.9557	0.983	0.5918	0.5285	0.7658	0.557
0.5	0.5	0.4643	0.4643	0	0.9643	0.9219	0.9219	0.875	0.125	0.1607	0.75	0.375	0.875	0.9688	0.7812	0	0	0.4107	0.4688	0.8906	0.6786	0.75	0.875	0.75	0.625	0.125	0.4464	0.2321	0.4107	0.9062	0.7857	0.4643	0.7857	0.5536
0.9375	0.8036	0.9375	0.7857	0	0.9821	0.9062	0.7143	0.9375	0.0536	0.0536	0.7679	0.3571	0.9286	0.9844	0.75	0.8438	0	0.25	0.0714	0.9643	0.8214	0.4464	0.75	0.4107	0.4643	0.0714	0.0357	0.4464	0.875	0.9375	0.4821	0.9062	0.75	0.1786
